Using GPU available:  NVIDIA GeForce RTX 3090
Some weights of BertForSequenceClassification were not initialized from the model checkpoint at bert-base-uncased and are newly initialized: ['classifier.weight', 'classifier.bias']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
############################ bert-base-uncased text results ##################################
Epoch 1/3
Train Batch 132/588
Train Batch 133/588
Train Batch 134/588
Train Batch 135/588
Train Batch 136/588
Train Batch 137/588
Train Batch 138/588
Train Batch 139/588
Train Batch 140/588
Train Batch 141/588
Train Batch 142/588
Train Batch 143/588
Train Batch 144/588
Train Batch 145/588
Train Batch 146/588
Train Batch 147/588
Train Batch 148/588
Train Batch 149/588
Train Batch 150/588
Train Batch 151/588
Train Batch 152/588
Train Batch 153/588
Train Batch 154/588
Train Batch 155/588
Train Batch 156/588
Train Batch 157/588
Train Batch 158/588
Train Batch 159/588
Train Batch 160/588
Train Batch 161/588
Train Batch 162/588
Train Batch 163/588
Train Batch 164/588
Train Batch 165/588
Train Batch 166/588
Train Batch 167/588
Train Batch 168/588
Train Batch 169/588
Train Batch 170/588
Train Batch 171/588
Train Batch 172/588
Train Batch 173/588
Train Batch 174/588
Train Batch 175/588
Train Batch 176/588
Train Batch 177/588
Train Batch 178/588
Train Batch 179/588
Train Batch 180/588
Train Batch 181/588
Train Batch 182/588
Train Batch 183/588
Train Batch 184/588
Train Batch 185/588
Train Batch 186/588
Train Batch 187/588
Train Batch 188/588
Train Batch 189/588
Train Batch 190/588
Train Batch 191/588
Train Batch 192/588
Train Batch 193/588
Train Batch 194/588
Train Batch 195/588
Train Batch 196/588
Train Batch 197/588
Train Batch 198/588
Train Batch 199/588
Train Batch 200/588
Train Batch 201/588
Train Batch 202/588
Train Batch 203/588
Train Batch 204/588
Train Batch 205/588
Train Batch 206/588
Train Batch 207/588
Train Batch 208/588
Train Batch 209/588
Train Batch 210/588
Train Batch 211/588
Train Batch 212/588
Train Batch 213/588
Train Batch 214/588
Train Batch 215/588
Train Batch 216/588
Train Batch 217/588
Train Batch 218/588
Train Batch 219/588
Train Batch 220/588
Train Batch 221/588
Train Batch 222/588
Train Batch 223/588
Train Batch 224/588
Train Batch 225/588
Train Batch 226/588
Train Batch 227/588
Train Batch 228/588
Train Batch 229/588
Train Batch 230/588
Train Batch 231/588
Train Batch 232/588
Train Batch 233/588
Train Batch 234/588
Train Batch 235/588
Train Batch 236/588
Train Batch 237/588
Train Batch 238/588
Train Batch 239/588
Train Batch 240/588
Train Batch 241/588
Train Batch 242/588
Train Batch 243/588
Train Batch 244/588
Train Batch 245/588
Train Batch 246/588
Train Batch 247/588
Train Batch 248/588
Train Batch 249/588
Train Batch 250/588
Train Batch 251/588
Train Batch 252/588
Train Batch 253/588
Train Batch 254/588
Train Batch 255/588
Train Batch 256/588
Train Batch 257/588
Train Batch 258/588
Train Batch 259/588
Train Batch 260/588
Train Batch 261/588
Train Batch 262/588
Train Batch 263/588
Train Batch 264/588
Train Batch 265/588
Train Batch 266/588
Train Batch 267/588
Train Batch 268/588
Train Batch 269/588
Train Batch 270/588
Train Batch 271/588
Train Batch 272/588
Train Batch 273/588
Train Batch 274/588
Train Batch 275/588
Train Batch 276/588
Train Batch 277/588
Train Batch 278/588
Train Batch 279/588
Train Batch 280/588
Train Batch 281/588
Train Batch 282/588
Train Batch 283/588
Train Batch 284/588
Train Batch 285/588
Train Batch 286/588
Train Batch 287/588
Train Batch 288/588
Train Batch 289/588
Train Batch 290/588
Train Batch 291/588
Train Batch 292/588
Train Batch 293/588
Train Batch 294/588
Train Batch 295/588
Train Batch 296/588
Train Batch 297/588
Train Batch 298/588
Train Batch 299/588
Train Batch 300/588
Train Batch 301/588
Train Batch 302/588
Train Batch 303/588
Train Batch 304/588
Train Batch 305/588
Train Batch 306/588
Train Batch 307/588
Train Batch 308/588
Train Batch 309/588
Train Batch 310/588
Train Batch 311/588
Train Batch 312/588
Train Batch 313/588
Train Batch 314/588
Train Batch 315/588
Train Batch 316/588
Train Batch 317/588
Train Batch 318/588
Train Batch 319/588
Train Batch 320/588
Train Batch 321/588
Train Batch 322/588
Train Batch 323/588
Train Batch 324/588
Train Batch 325/588
Train Batch 326/588
Train Batch 327/588
Train Batch 328/588
Train Batch 329/588
Train Batch 330/588
Train Batch 331/588
Train Batch 332/588
Train Batch 333/588
Train Batch 334/588
Train Batch 335/588
Train Batch 336/588
Train Batch 337/588
Train Batch 338/588
Train Batch 339/588
Train Batch 340/588
Train Batch 341/588
Train Batch 342/588
Train Batch 343/588
Train Batch 344/588
Train Batch 345/588
Train Batch 346/588
Train Batch 347/588
Train Batch 348/588
Train Batch 349/588
Train Batch 350/588
Train Batch 351/588
Train Batch 352/588
Train Batch 353/588
Train Batch 354/588
Train Batch 355/588
Train Batch 356/588
Train Batch 357/588
Train Batch 358/588
Train Batch 359/588
Train Batch 360/588
Train Batch 361/588
Train Batch 362/588
Train Batch 363/588
Train Batch 364/588
Train Batch 365/588
Train Batch 366/588
Train Batch 367/588
Train Batch 368/588
Train Batch 369/588
Train Batch 370/588
Train Batch 371/588
Train Batch 372/588
Train Batch 373/588
Train Batch 374/588
Train Batch 375/588
Train Batch 376/588
Train Batch 377/588
Train Batch 378/588
Train Batch 379/588
Train Batch 380/588
Train Batch 381/588
Train Batch 382/588
Train Batch 383/588
Train Batch 384/588
Train Batch 385/588
Train Batch 386/588
Train Batch 387/588
Train Batch 388/588
Train Batch 389/588
Train Batch 390/588
Train Batch 391/588
Train Batch 392/588
Train Batch 393/588
Train Batch 394/588
Train Batch 395/588
Train Batch 396/588
Train Batch 397/588
Train Batch 398/588
Train Batch 399/588
Train Batch 400/588
Train Batch 401/588
Train Batch 402/588
Train Batch 403/588
Train Batch 404/588
Train Batch 405/588
Train Batch 406/588
Train Batch 407/588
Train Batch 408/588
Train Batch 409/588
Train Batch 410/588
Train Batch 411/588
Train Batch 412/588
Train Batch 413/588
Train Batch 414/588
Train Batch 415/588
Train Batch 416/588
Train Batch 417/588
Train Batch 418/588
Train Batch 419/588
Train Batch 420/588
Train Batch 421/588
Train Batch 422/588
Train Batch 423/588
Train Batch 424/588
Train Batch 425/588
Train Batch 426/588
Train Batch 427/588
Train Batch 428/588
Train Batch 429/588
Train Batch 430/588
Train Batch 431/588
Train Batch 432/588
Train Batch 433/588
Train Batch 434/588
Train Batch 435/588
Train Batch 436/588
Train Batch 437/588
Train Batch 438/588
Train Batch 439/588
Train Batch 440/588
Train Batch 441/588
Train Batch 442/588
Train Batch 443/588
Train Batch 444/588
Train Batch 445/588
Train Batch 446/588
Train Batch 447/588
Train Batch 448/588
Train Batch 449/588
Train Batch 450/588
Train Batch 451/588
Train Batch 452/588
Train Batch 453/588
Train Batch 454/588
Train Batch 455/588
Train Batch 456/588
Train Batch 457/588
Train Batch 458/588
Train Batch 459/588
Train Batch 460/588
Train Batch 461/588
Train Batch 462/588
Train Batch 463/588
Train Batch 464/588
Train Batch 465/588
Train Batch 466/588
Train Batch 467/588
Train Batch 468/588
Train Batch 469/588
Train Batch 470/588
Train Batch 471/588
Train Batch 472/588
Train Batch 473/588
Train Batch 474/588
Train Batch 475/588
Train Batch 476/588
Train Batch 477/588
Train Batch 478/588
Train Batch 479/588
Train Batch 480/588
Train Batch 481/588
Train Batch 482/588
Train Batch 483/588
Train Batch 484/588
Train Batch 485/588
Train Batch 486/588
Train Batch 487/588
Train Batch 488/588
Train Batch 489/588
Train Batch 490/588
Train Batch 491/588
Train Batch 492/588
Train Batch 493/588
Train Batch 494/588
Train Batch 495/588
Train Batch 496/588
Train Batch 497/588
Train Batch 498/588
Train Batch 499/588
Train Batch 500/588
Train Batch 501/588
Train Batch 502/588
Train Batch 503/588
Train Batch 504/588
Train Batch 505/588
Train Batch 506/588
Train Batch 507/588
Train Batch 508/588
Train Batch 509/588
Train Batch 510/588
Train Batch 511/588
Train Batch 512/588
Train Batch 513/588
Train Batch 514/588
Train Batch 515/588
Train Batch 516/588
Train Batch 517/588
Train Batch 518/588
Train Batch 519/588
Train Batch 520/588
Train Batch 521/588
Train Batch 522/588
Train Batch 523/588
Train Batch 524/588
Train Batch 525/588
Train Batch 526/588
Train Batch 527/588
Train Batch 528/588
Train Batch 529/588
Train Batch 530/588
Train Batch 531/588
Train Batch 532/588
Train Batch 533/588
Train Batch 534/588
Train Batch 535/588
Train Batch 536/588
Train Batch 537/588
Train Batch 538/588
Train Batch 539/588
Train Batch 540/588
Train Batch 541/588
Train Batch 542/588
Train Batch 543/588
Train Batch 544/588
Train Batch 545/588
Train Batch 546/588
Train Batch 547/588
Train Batch 548/588
Train Batch 549/588
Train Batch 550/588
Train Batch 551/588
Train Batch 552/588
Train Batch 553/588
Train Batch 554/588
Train Batch 555/588
Train Batch 556/588
Train Batch 557/588
Train Batch 558/588
Train Batch 559/588
Train Batch 560/588
Train Batch 561/588
Train Batch 562/588
Train Batch 563/588
Train Batch 564/588
Train Batch 565/588
Train Batch 566/588
Train Batch 567/588
Train Batch 568/588
Train Batch 569/588
Train Batch 570/588
Train Batch 571/588
Train Batch 572/588
Train Batch 573/588
Train Batch 574/588
Train Batch 575/588
Train Batch 576/588
Train Batch 577/588
Train Batch 578/588
Train Batch 579/588
Train Batch 580/588
Train Batch 581/588
Train Batch 582/588
Train Batch 583/588
Train Batch 584/588
Train Batch 585/588
Train Batch 586/588
Train Batch 587/588
Train Batch 588/588
Validation Batch 1/15
Validation Batch 2/15
Validation Batch 3/15
Validation Batch 4/15
Validation Batch 5/15
Validation Batch 6/15
Validation Batch 7/15
Validation Batch 8/15
Validation Batch 9/15
Validation Batch 10/15
Validation Batch 11/15
Validation Batch 12/15
Validation Batch 13/15
Validation Batch 14/15
Validation Batch 15/15
Epoch [1/3] - Training Loss: 1827.87378 - Average Training Loss: 0.09718 - Validation Loss: 44.27124 - Average Validation Loss: 0.009413405321538448
Epoch 2/3
Train Batch 1/588
Train Batch 2/588
Train Batch 3/588
Train Batch 4/588
Train Batch 5/588
Train Batch 6/588
Train Batch 7/588
Train Batch 8/588
Train Batch 9/588
Train Batch 10/588
Train Batch 11/588
Train Batch 12/588
Train Batch 13/588
Train Batch 14/588
Train Batch 15/588
Train Batch 16/588
Train Batch 17/588
Train Batch 18/588
Train Batch 19/588
Train Batch 20/588
Train Batch 21/588
Train Batch 22/588
Train Batch 23/588
Train Batch 24/588
Train Batch 25/588
Train Batch 26/588
Train Batch 27/588
Train Batch 28/588
Train Batch 29/588
Train Batch 30/588
Train Batch 31/588
Train Batch 32/588
Train Batch 33/588
Train Batch 34/588
Train Batch 35/588
Train Batch 36/588
Train Batch 37/588
Train Batch 38/588
Train Batch 39/588
Train Batch 40/588
Train Batch 41/588
Train Batch 42/588
Train Batch 43/588
Train Batch 44/588
Train Batch 45/588
Train Batch 46/588
Train Batch 47/588
Train Batch 48/588
Train Batch 49/588
Train Batch 50/588
Train Batch 51/588
Train Batch 52/588
Train Batch 53/588
Train Batch 54/588
Train Batch 55/588
Train Batch 56/588
Train Batch 57/588
Train Batch 58/588
Train Batch 59/588
Train Batch 60/588
Train Batch 61/588
Train Batch 62/588
Train Batch 63/588
Train Batch 64/588
Train Batch 65/588
Train Batch 66/588
Train Batch 67/588
Train Batch 68/588
Train Batch 69/588
Train Batch 70/588
Train Batch 71/588
Train Batch 72/588
Train Batch 73/588
Train Batch 74/588
Train Batch 75/588
Train Batch 76/588
Train Batch 77/588
Train Batch 78/588
Train Batch 79/588
Train Batch 80/588
Train Batch 81/588
Train Batch 82/588
Train Batch 83/588
Train Batch 84/588
Train Batch 85/588
Train Batch 86/588
Train Batch 87/588
Train Batch 88/588
Train Batch 89/588
Train Batch 90/588
Train Batch 91/588
Train Batch 92/588
Train Batch 93/588
Train Batch 94/588
Train Batch 95/588
Train Batch 96/588
Train Batch 97/588
Train Batch 98/588
Train Batch 99/588
Train Batch 100/588
Train Batch 101/588
Train Batch 102/588
Train Batch 103/588
Train Batch 104/588
Train Batch 105/588
Train Batch 106/588
Train Batch 107/588
Train Batch 108/588
Train Batch 109/588
Train Batch 110/588
Train Batch 111/588
Train Batch 112/588
Train Batch 113/588
Train Batch 114/588
Train Batch 115/588
Train Batch 116/588
Train Batch 117/588
Train Batch 118/588
Train Batch 119/588
Train Batch 120/588
Train Batch 121/588
Train Batch 122/588
Train Batch 123/588
Train Batch 124/588
Train Batch 125/588
Train Batch 126/588
Train Batch 127/588
Train Batch 128/588
Train Batch 129/588
Train Batch 130/588
Train Batch 131/588
Train Batch 132/588
Train Batch 133/588
Train Batch 134/588
Train Batch 135/588
Train Batch 136/588
Train Batch 137/588
Train Batch 138/588
Train Batch 139/588
Train Batch 140/588
Train Batch 141/588
Train Batch 142/588
Train Batch 143/588
Train Batch 144/588
Train Batch 145/588
Train Batch 146/588
Train Batch 147/588
Train Batch 148/588
Train Batch 149/588
Train Batch 150/588
Train Batch 151/588
Train Batch 152/588
Train Batch 153/588
Train Batch 154/588
Train Batch 155/588
Train Batch 156/588
Train Batch 157/588
Train Batch 158/588
Train Batch 159/588
Train Batch 160/588
Train Batch 161/588
Train Batch 162/588
Train Batch 163/588
Train Batch 164/588
Train Batch 165/588
Train Batch 166/588
Train Batch 167/588
Train Batch 168/588
Train Batch 169/588
Train Batch 170/588
Train Batch 171/588
Train Batch 172/588
Train Batch 173/588
Train Batch 174/588
Train Batch 175/588
Train Batch 176/588
Train Batch 177/588
Train Batch 178/588
Train Batch 179/588
Train Batch 180/588
Train Batch 181/588
Train Batch 182/588
Train Batch 183/588
Train Batch 184/588
Train Batch 185/588
Train Batch 186/588
Train Batch 187/588
Train Batch 188/588
Train Batch 189/588
Train Batch 190/588
Train Batch 191/588
Train Batch 192/588
Train Batch 193/588
Train Batch 194/588
Train Batch 195/588
Train Batch 196/588
Train Batch 197/588
Train Batch 198/588
Train Batch 199/588
Train Batch 200/588
Train Batch 201/588
Train Batch 202/588
Train Batch 203/588
Train Batch 204/588
Train Batch 205/588
Train Batch 206/588
Train Batch 207/588
Train Batch 208/588
Train Batch 209/588
Train Batch 210/588
Train Batch 211/588
Train Batch 212/588
Train Batch 213/588
Train Batch 214/588
Train Batch 215/588
Train Batch 216/588
Train Batch 217/588
Train Batch 218/588
Train Batch 219/588
Train Batch 220/588
Train Batch 221/588
Train Batch 222/588
Train Batch 223/588
Train Batch 224/588
Train Batch 225/588
Train Batch 226/588
Train Batch 227/588
Train Batch 228/588
Train Batch 229/588
Train Batch 230/588
Train Batch 231/588
Train Batch 232/588
Train Batch 233/588
Train Batch 234/588
Train Batch 235/588
Train Batch 236/588
Train Batch 237/588
Train Batch 238/588
Train Batch 239/588
Train Batch 240/588
Train Batch 241/588
Train Batch 242/588
Train Batch 243/588
Train Batch 244/588
Train Batch 245/588
Train Batch 246/588
Train Batch 247/588
Train Batch 248/588
Train Batch 249/588
Train Batch 250/588
Train Batch 251/588
Train Batch 252/588
Train Batch 253/588
Train Batch 254/588
Train Batch 255/588
Train Batch 256/588
Train Batch 257/588
Train Batch 258/588
Train Batch 259/588
Train Batch 260/588
Train Batch 261/588
Train Batch 262/588
Train Batch 263/588
Train Batch 264/588
Train Batch 265/588
Train Batch 266/588
Train Batch 267/588
Train Batch 268/588
Train Batch 269/588
Train Batch 270/588
Train Batch 271/588
Train Batch 272/588
Train Batch 273/588
Train Batch 274/588
Train Batch 275/588
Train Batch 276/588
Train Batch 277/588
Train Batch 278/588
Train Batch 279/588
Train Batch 280/588
Train Batch 281/588
Train Batch 282/588
Train Batch 283/588
Train Batch 284/588
Train Batch 285/588
Train Batch 286/588
Train Batch 287/588
Train Batch 288/588
Train Batch 289/588
Train Batch 290/588
Train Batch 291/588
Train Batch 292/588
Train Batch 293/588
Train Batch 294/588
Train Batch 295/588
Train Batch 296/588
Train Batch 297/588
Train Batch 298/588
Train Batch 299/588
Train Batch 300/588
Train Batch 301/588
Train Batch 302/588
Train Batch 303/588
Train Batch 304/588
Train Batch 305/588
Train Batch 306/588
Train Batch 307/588
Train Batch 308/588
Train Batch 309/588
Train Batch 310/588
Train Batch 311/588
Train Batch 312/588
Train Batch 313/588
Train Batch 314/588
Train Batch 315/588
Train Batch 316/588
Train Batch 317/588
Train Batch 318/588
Train Batch 319/588
Train Batch 320/588
Train Batch 321/588
Train Batch 322/588
Train Batch 323/588
Train Batch 324/588
Train Batch 325/588
Train Batch 326/588
Train Batch 327/588
Train Batch 328/588
Train Batch 329/588
Train Batch 330/588
Train Batch 331/588
Train Batch 332/588
Train Batch 333/588
Train Batch 334/588
Train Batch 335/588
Train Batch 336/588
Train Batch 337/588
Train Batch 338/588
Train Batch 339/588
Train Batch 340/588
Train Batch 341/588
Train Batch 342/588
Train Batch 343/588
Train Batch 344/588
Train Batch 345/588
Train Batch 346/588
Train Batch 347/588
Train Batch 348/588
Train Batch 349/588
Train Batch 350/588
Train Batch 351/588
Train Batch 352/588
Train Batch 353/588
Train Batch 354/588
Train Batch 355/588
Train Batch 356/588
Train Batch 357/588
Train Batch 358/588
Train Batch 359/588
Train Batch 360/588
Train Batch 361/588
Train Batch 362/588
Train Batch 363/588
Train Batch 364/588
Train Batch 365/588
Train Batch 366/588
Train Batch 367/588
Train Batch 368/588
Train Batch 369/588
Train Batch 370/588
Train Batch 371/588
Train Batch 372/588
Train Batch 373/588
Train Batch 374/588
Train Batch 375/588
Train Batch 376/588
Train Batch 377/588
Train Batch 378/588
Train Batch 379/588
Train Batch 380/588
Train Batch 381/588
Train Batch 382/588
Train Batch 383/588
Train Batch 384/588
Train Batch 385/588
Train Batch 386/588
Train Batch 387/588
Train Batch 388/588
Train Batch 389/588
Train Batch 390/588
Train Batch 391/588
Train Batch 392/588
Train Batch 393/588
Train Batch 394/588
Train Batch 395/588
Train Batch 396/588
Train Batch 397/588
Train Batch 398/588
Train Batch 399/588
Train Batch 400/588
Train Batch 401/588
Train Batch 402/588
Train Batch 403/588
Train Batch 404/588
Train Batch 405/588
Train Batch 406/588
Train Batch 407/588
Train Batch 408/588
Train Batch 409/588
Train Batch 410/588
Train Batch 411/588
Train Batch 412/588
Train Batch 413/588
Train Batch 414/588
Train Batch 415/588
Train Batch 416/588
Train Batch 417/588
Train Batch 418/588
Train Batch 419/588
Train Batch 420/588
Train Batch 421/588
Train Batch 422/588
Train Batch 423/588
Train Batch 424/588
Train Batch 425/588
Train Batch 426/588
Train Batch 427/588
Train Batch 428/588
Train Batch 429/588
Train Batch 430/588
Train Batch 431/588
Train Batch 432/588
Train Batch 433/588
Train Batch 434/588
Train Batch 435/588
Train Batch 436/588
Train Batch 437/588
Train Batch 438/588
Train Batch 439/588
Train Batch 440/588
Train Batch 441/588
Train Batch 442/588
Train Batch 443/588
Train Batch 444/588
Train Batch 445/588
Train Batch 446/588
Train Batch 447/588
Train Batch 448/588
Train Batch 449/588
Train Batch 450/588
Train Batch 451/588
Train Batch 452/588
Train Batch 453/588
Train Batch 454/588
Train Batch 455/588
Train Batch 456/588
Train Batch 457/588
Train Batch 458/588
Train Batch 459/588
Train Batch 460/588
Train Batch 461/588
Train Batch 462/588
Train Batch 463/588
Train Batch 464/588
Train Batch 465/588
Train Batch 466/588
Train Batch 467/588
Train Batch 468/588
Train Batch 469/588
Train Batch 470/588
Train Batch 471/588
Train Batch 472/588
Train Batch 473/588
Train Batch 474/588
Train Batch 475/588
Train Batch 476/588
Train Batch 477/588
Train Batch 478/588
Train Batch 479/588
Train Batch 480/588
Train Batch 481/588
Train Batch 482/588
Train Batch 483/588
Train Batch 484/588
Train Batch 485/588
Train Batch 486/588
Train Batch 487/588
Train Batch 488/588
Train Batch 489/588
Train Batch 490/588
Train Batch 491/588
Train Batch 492/588
Train Batch 493/588
Train Batch 494/588
Train Batch 495/588
Train Batch 496/588
Train Batch 497/588
Train Batch 498/588
Train Batch 499/588
Train Batch 500/588
Train Batch 501/588
Train Batch 502/588
Train Batch 503/588
Train Batch 504/588
Train Batch 505/588
Train Batch 506/588
Train Batch 507/588
Train Batch 508/588
Train Batch 509/588
Train Batch 510/588
Train Batch 511/588
Train Batch 512/588
Train Batch 513/588
Train Batch 514/588
Train Batch 515/588
Train Batch 516/588
Train Batch 517/588
Train Batch 518/588
Train Batch 519/588
Train Batch 520/588
Train Batch 521/588
Train Batch 522/588
Train Batch 523/588
Train Batch 524/588
Train Batch 525/588
Train Batch 526/588
Train Batch 527/588
Train Batch 528/588
Train Batch 529/588
Train Batch 530/588
Train Batch 531/588
Train Batch 532/588
Train Batch 533/588
Train Batch 534/588
Train Batch 535/588
Train Batch 536/588
Train Batch 537/588
Train Batch 538/588
Train Batch 539/588
Train Batch 540/588
Train Batch 541/588
Train Batch 542/588
Train Batch 543/588
Train Batch 544/588
Train Batch 545/588
Train Batch 546/588
Train Batch 547/588
Train Batch 548/588
Train Batch 549/588
Train Batch 550/588
Train Batch 551/588
Train Batch 552/588
Train Batch 553/588
Train Batch 554/588
Train Batch 555/588
Train Batch 556/588
Train Batch 557/588
Train Batch 558/588
Train Batch 559/588
Train Batch 560/588
Train Batch 561/588
Train Batch 562/588
Train Batch 563/588
Train Batch 564/588
Train Batch 565/588
Train Batch 566/588
Train Batch 567/588
Train Batch 568/588
Train Batch 569/588
Train Batch 570/588
Train Batch 571/588
Train Batch 572/588
Train Batch 573/588
Train Batch 574/588
Train Batch 575/588
Train Batch 576/588
Train Batch 577/588
Train Batch 578/588
Train Batch 579/588
Train Batch 580/588
Train Batch 581/588
Train Batch 582/588
Train Batch 583/588
Train Batch 584/588
Train Batch 585/588
Train Batch 586/588
Train Batch 587/588
Train Batch 588/588
Validation Batch 1/15
Validation Batch 2/15
Validation Batch 3/15
Validation Batch 4/15
Validation Batch 5/15
Validation Batch 6/15
Validation Batch 7/15
Validation Batch 8/15
Validation Batch 9/15
Validation Batch 10/15
Validation Batch 11/15
Validation Batch 12/15
Validation Batch 13/15
Validation Batch 14/15
Validation Batch 15/15
Epoch [2/3] - Training Loss: 1647.81409 - Average Training Loss: 0.08761 - Validation Loss: 40.90759 - Average Validation Loss: 0.008698191493749619
Epoch 3/3
Train Batch 1/588
Train Batch 2/588
Train Batch 3/588
Train Batch 4/588
Train Batch 5/588
Train Batch 6/588
Train Batch 7/588
Train Batch 8/588
Train Batch 9/588
Train Batch 10/588
Train Batch 11/588
Train Batch 12/588
Train Batch 13/588
Train Batch 14/588
Train Batch 15/588
Train Batch 16/588
Train Batch 17/588
Train Batch 18/588
Train Batch 19/588
Train Batch 20/588
Train Batch 21/588
Train Batch 22/588
Train Batch 23/588
Train Batch 24/588
Train Batch 25/588
Train Batch 26/588
Train Batch 27/588
Train Batch 28/588
Train Batch 29/588
Train Batch 30/588
Train Batch 31/588
Train Batch 32/588
Train Batch 33/588
Train Batch 34/588
Train Batch 35/588
Train Batch 36/588
Train Batch 37/588
Train Batch 38/588
Train Batch 39/588
Train Batch 40/588
Train Batch 41/588
Train Batch 42/588
Train Batch 43/588
Train Batch 44/588
Train Batch 45/588
Train Batch 46/588
Train Batch 47/588
Train Batch 48/588
Train Batch 49/588
Train Batch 50/588
Train Batch 51/588
Train Batch 52/588
Train Batch 53/588
Train Batch 54/588
Train Batch 55/588
Train Batch 56/588
Train Batch 57/588
Train Batch 58/588
Train Batch 59/588
Train Batch 60/588
Train Batch 61/588
Train Batch 62/588
Train Batch 63/588
Train Batch 64/588
Train Batch 65/588
Train Batch 66/588
Train Batch 67/588
Train Batch 68/588
Train Batch 69/588
Train Batch 70/588
Train Batch 71/588
Train Batch 72/588
Train Batch 73/588
Train Batch 74/588
Train Batch 75/588
Train Batch 76/588
Train Batch 77/588
Train Batch 78/588
Train Batch 79/588
Train Batch 80/588
Train Batch 81/588
Train Batch 82/588
Train Batch 83/588
Train Batch 84/588
Train Batch 85/588
Train Batch 86/588
Train Batch 87/588
Train Batch 88/588
Train Batch 89/588
Train Batch 90/588
Train Batch 91/588
Train Batch 92/588
Train Batch 93/588
Train Batch 94/588
Train Batch 95/588
Train Batch 96/588
Train Batch 97/588
Train Batch 98/588
Train Batch 99/588
Train Batch 100/588
Train Batch 101/588
Train Batch 102/588
Train Batch 103/588
Train Batch 104/588
Train Batch 105/588
Train Batch 106/588
Train Batch 107/588
Train Batch 108/588
Train Batch 109/588
Train Batch 110/588
Train Batch 111/588
Train Batch 112/588
Train Batch 113/588
Train Batch 114/588
Train Batch 115/588
Train Batch 116/588
Train Batch 117/588
Train Batch 118/588
Train Batch 119/588
Train Batch 120/588
Train Batch 121/588
Train Batch 122/588
Train Batch 123/588
Train Batch 124/588
Train Batch 125/588
Train Batch 126/588
Train Batch 127/588
Train Batch 128/588
Train Batch 129/588
Train Batch 130/588
Train Batch 131/588
Train Batch 132/588
Train Batch 133/588
Train Batch 134/588
Train Batch 135/588
Train Batch 136/588
Train Batch 137/588
Train Batch 138/588
Train Batch 139/588
Train Batch 140/588
Train Batch 141/588
Train Batch 142/588
Train Batch 143/588
Train Batch 144/588
Train Batch 145/588
